LASTNAME;NAME;BIRTH_DATE;CODE_COUNTRY_NUM;CODE_PLAYER;HEIGHT
al-Irani; Najeem;1974-12-02;400;741;1.81
Carbajal; Itzael;1975-02-05;642;742;1.9
Blackhorse; Christian;1977-12-21;292;743;1.95
Severson; Nicholas;1971-06-09;666;744;1.96
Fuino; Ian;1983-09-26;662;745;1.82
Redin; Kosuke;1973-03-01;262;746;1.9
al-Zakaria; Munsif;1983-10-22;312;747;1.82
Kim; Kevin;1972-06-09;630;748;1.91
Dan; Clayton;1976-11-20;498;749;1.81
al-Azzam; Saleel;1977-12-14;499;750;1.94
Tanaka; Neil;1978-11-05;250;751;1.92
Eberhart; Couric;1981-05-28;496;752;1.8
al-Shakir; Abdul Rauf;1973-05-22;288;753;1.88
Creech; Connor;1971-12-05;533;754;1.9
Orr; Connor;1975-09-10;624;755;1.87
Morben; John;1984-06-22;682;756;1.88
Duplantier; Quinton;1971-02-25;364;757;1.85
Thomas; Quincy;1979-08-22;222;758;1.88
Cheng; Andrew;1979-01-07;248;759;1.9
Angulo Martinez; Edward;1973-09-19;76;760;1.85
Cruz; Faustino;1977-08-21;324;761;1.81
al-Azimi; Waleed;1983-06-23;417;762;1.97
Garcia; Bernardo;1979-03-23;638;763;1.88
Bush; Kane;1978-07-08;417;764;1.83
Prasad; Kevin;1983-07-07;860;765;1.81
Snow; Lonny;1974-01-06;862;766;1.91
Ward; Keandre;1976-08-13;296;767;1.82
Vigil; Ricardo;1980-12-06;92;768;1.97
Williams; Christian;1975-12-26;580;769;1.81
Deherrera; Matthew;1980-10-29;4;770;1.88
Shah; Seung;1985-05-27;832;2;1.87
el-Akel; Zaahir;1976-08-02;218;3;1.96
el-Malik; Husni;1971-06-16;328;4;1.88
Sounakhene; Yutaro;1976-09-02;250;5;1.88
Hight; Andrew;1972-10-20;748;6;1.84
Hirokawa; Sean;1984-01-12;662;7;1.97
el-Demian; Abdut Tawwab;1985-11-18;144;8;1.88
Running-Rabbit; Ethen;1980-08-25;233;9;1.98
Johnson; Kyle;1980-01-07;624;10;1.95
Davis; Scott;1973-12-15;630;11;1.87
el-Mohamed; Imaad;1981-08-08;478;12;1.96
Sadiarin; Tyler;1974-05-02;52;13;1.88
al-Ghaffari; Aabid;1985-06-22;414;14;1.89
Guerrero; Antonio;1977-10-13;795;15;1.85
Stevens-Sunnell; Casey;1971-11-11;788;16;1.81
al-Bari; Muslih;1972-09-14;10;17;1.83
Rojas; Marcus;1976-09-08;250;18;1.93
Perez Rivera; Alan;1978-07-20;68;19;1.91
Vasquez; Vyncynt;1978-02-25;478;20;1.89
Brown; Zimiri;1984-11-17;834;21;1.9
al-Taheri; Ihaab;1975-11-18;548;22;1.85
Leswick; Elijah;1976-09-04;258;23;1.87
Trojahn; William;1979-06-12;404;24;1.81
Masingale; Samuel;1971-01-27;442;25;1.84
Colbert; Ashay;1972-12-10;364;26;1.8
Hasan; Timothy;1982-02-17;222;27;1.8
Jensen; Cash;1978-06-07;368;28;1.81
Hancock; Tavaris;1984-06-12;140;29;1.9
el-Ismael; Ma;1971-06-16;56;30;1.97
Taylor; Deandre;1981-07-13;50;31;1.82
Gonzalez; Saul;1971-04-04;554;32;1.84
Valenzuela; Johnny;1978-10-27;234;33;1.93
Carlin; Ryne;1971-02-09;400;34;1.94
Lira; Dominic;1973-09-26;404;35;1.82
Bluejacket; Howard;1984-09-25;410;36;1.91
Kissell; Tyler;1984-06-13;748;37;1.83
Zhen; Matthew;1985-07-13;862;38;1.96
Bean; Dinay;1971-08-01;222;39;1.97
Bair; John;1983-10-03;454;40;1.81
Maas; Jonel;1973-07-11;492;41;1.97
Ellerman; Danny;1983-05-18;516;42;1.93
Lucero; Corey;1972-03-08;208;43;1.89
Sanchez; Alonso;1981-06-15;414;44;1.83
Wetsch; Jeffrey;1983-02-14;662;45;1.8
Boon; Julian;1972-07-09;833;46;1.92
al-Assad; Jamaal;1971-12-16;744;47;1.93
Cervantes; Anthony;1979-08-19;364;48;1.97
Ford Nunn; Cass;1982-12-02;826;49;1.86
Soto Reyes; Ramon;1979-10-29;48;50;1.95
Dewind; Nicholas;1983-03-04;496;51;1.87
Garcia; Gabe;1981-06-14;480;52;1.9
Collette; Jose;1972-04-10;334;53;1.85
Tunnell; Steven;1976-11-06;434;54;1.97
Maldonado; Joseph;1975-05-20;508;55;1.92
Simon; Taku;1985-09-08;642;56;1.89
Brittain; Michael;1971-06-12;854;57;1.81
Hornbuckle; Ramesh;1978-03-17;756;58;1.87
Chen; Henley;1981-05-08;660;59;1.88
al-Raad; Zaahir;1982-06-19;772;60;1.92
Bennett Tapuy; Jose;1980-01-16;826;61;1.9
Trujillo; Christian;1981-10-13;36;62;1.91
Ball; Alex;1973-02-08;332;63;1.97
Tesfaye; Marcus;1979-08-02;184;64;1.82
English; David;1976-11-19;96;65;1.92
Mitchell; Anthony Jr;1984-12-22;320;66;1.89
Maloy; William;1975-06-21;108;67;1.95
Valencia; Daniel;1974-01-18;320;68;1.93
el-Latif; Ikram;1971-12-02;204;69;1.95
Harner; Connor;1973-02-23;140;70;1.83
Johnson; Darcey;1981-04-27;10;71;1.88
Vela-Lopez; Michael;1983-08-30;760;72;1.95
Wysocki; Ocean;1975-08-02;580;73;1.8
al-Nagi; Abdul Baari;1980-07-23;764;74;1.84
Rogers; Colter;1975-04-19;36;75;1.8
Jelly; Marcus;1976-11-17;558;76;1.91
Chavarria; Ricky;1985-09-10;208;77;1.95
Smock; Benjamin;1975-04-21;442;78;1.87
el-Demian; Jaad;1976-10-27;100;79;1.8
Jefferson; Toniesha;1980-04-17;162;80;1.97
Herrera; William;1983-02-11;250;81;1.83
Littlewhiteman; Calvin;1977-02-05;634;82;1.86
Santos; Marquis;1980-02-05;484;83;1.97
Gabriel; Bo;1974-01-30;204;84;1.89
Gomez; John;1977-09-25;108;85;1.92
Bautista III; Joseph;1985-12-06;104;86;1.85
Koenig; Jesse;1982-05-01;480;87;1.86
el-Burki; Suhaib;1981-04-19;32;88;1.87
Keating; Cody;1977-03-12;474;89;1.9
Few; Trevin;1984-07-06;246;90;1.94
Zamora; Marcello;1979-02-29;104;91;1.83
Coberly; Justin;1971-06-29;548;92;1.81
al-Rashed; Saajid;1978-08-20;232;93;1.83
al-Syed; Zaaid;1977-10-20;132;94;1.92
Godinez; Ernesto;1979-09-06;104;95;1.93
el-Masood; Imraan;1982-10-16;578;96;1.98
Taylor; Zachariah;1976-12-15;384;97;1.86
Jain; Nantapop;1983-10-26;690;98;1.95
Billingsley; William Keith;1982-07-05;48;99;1.98
Khliu; Kin;1974-01-21;858;100;1.95
Mears; Jerry;1985-04-17;500;101;1.95
Smith; Eric;1980-04-06;320;102;1.86
Ganem; Matthew;1973-07-15;76;103;1.89
Greimann; Wyatt;1975-03-03;496;104;1.82
Goins; Aaron;1973-04-23;558;105;1.91
al-Mansour; Naazil;1980-10-15;531;106;1.96
Mullins; Caleb;1974-06-25;348;107;1.86
Jones; Maleek;1977-08-16;300;108;1.93
Walters; Steven;1974-10-28;796;109;1.96
al-Gaber; Rushdi;1973-08-25;454;110;1.91
Alcocer; Daniel;1983-03-07;332;111;1.95
Garcia; Agustin;1984-07-14;624;112;1.81
el-Arif; Thaamir;1978-09-19;384;113;1.86
Hanson; Donald;1981-02-11;124;114;1.97
Williams; Blake;1980-07-07;854;115;1.94
Flores; James;1977-11-19;60;116;1.83
Romero-Martinez; Rory;1975-07-24;104;117;1.81
el-Abad; Ramalaan;1975-10-30;0;118;1.89
Johnson; Laderian;1973-10-18;36;119;1.81
el-Khalili; Ridwaan;1978-07-12;250;120;1.89
Parsons; Jeremy;1985-04-05;876;121;1.96
el-Fayad; Uwais;1981-07-22;233;122;1.95
Yu; Christian;1982-01-23;776;123;1.96
al-Khalaf; Razeen;1979-02-05;124;124;1.95
Dao; Johnson;1971-12-08;792;125;1.9
Choate; Roberto;1983-12-29;643;126;1.96
Wirsching; Hayden;1971-05-11;275;127;1.85
Dang; Brandon;1981-01-18;212;128;1.92
Lichtenberg; Andrew;1985-03-18;772;129;1.88
Jefferson; Scottie;1977-02-25;858;130;1.89
Doan; Kevin;1981-12-04;60;131;1.9
el-Rasul; Abdul Hakeem;1971-01-12;233;132;1.81
Lee; Keegan;1973-02-22;8;133;1.9
al-Habeeb; Hilmi;1981-03-26;498;134;1.93
Sauls; Quinton;1983-08-13;312;135;1.91
Kauffmann; Wallace;1980-11-12;384;136;1.81
Cowgill; Travis;1980-09-22;574;137;1.86
Smith; Huntor;1983-10-17;72;138;1.92
Dominguez; Irvin;1981-09-20;772;139;1.8
Gilleece; Collin;1980-01-08;356;140;1.93
Chong; Alex;1973-09-18;480;141;1.86
el-Hatem; Naasif;1976-10-23;70;142;1.91
Masters; Ryan;1978-05-28;760;143;1.86
Coley; E'Phraim;1977-02-01;710;144;1.91
al-Akbari; Tayyib;1984-11-22;258;145;1.95
Zaman; Brandon;1984-06-28;528;146;1.82
Amparan; Tyler;1977-06-16;580;147;1.97
Warsame; Boris;1981-03-10;504;148;1.8
al-Siddiqui; Zameel;1980-12-28;248;149;1.81
Valdes; Manuel;1974-06-30;233;150;1.89
Kim; David;1979-05-08;50;151;1.94
Martinez-Vargas; Gerardo;1978-08-16;634;152;1.97
el-Qasim; Daamir;1971-01-29;380;153;1.96
al-Faraj; Mundhir;1979-02-28;100;154;1.82
Tran; Torrey;1983-01-04;498;155;1.97
Hemzacek; Ryan;1978-06-12;136;156;1.85
Corning; Brian;1977-12-25;807;157;1.85
Pigott; Taran;1980-09-18;48;158;1.9
Hays; Marqus;1979-01-24;144;159;1.86
Heu; Saad;1974-05-19;410;160;1.86
Vigil; Jose;1985-01-10;288;161;1.98
Molina-Ontiveros; Brenton;1984-10-07;585;162;1.82
Short; Devin;1982-04-18;136;163;1.94
Vigil; Mark;1978-02-18;50;164;1.82
Ayotte; Tyler;1981-01-28;504;165;1.93
Castine; David;1973-08-03;246;166;1.84
al-Abdul; Muntasir;1975-11-07;858;167;1.91
Morben; Casey;1977-01-27;620;168;1.94
Lee; You-One;1975-05-01;670;169;1.97
Roberts; Quyncc;1985-07-14;124;170;1.87
Tucker; Drew;1975-10-13;239;171;1.92
Herrera Cerna; Yuri;1971-06-28;604;172;1.97
Zabel; Hayden;1972-05-04;520;173;1.84
Fuentes; Joshua;1972-11-03;24;174;1.89
Hogan; Jacob;1972-02-08;24;175;1.94
Weldon; Dylan;1983-01-28;50;176;1.88
Wieber; Brandon;1984-02-15;454;177;1.83
al-Nasrallah; Nadheer;1985-04-10;222;178;1.88
Romero; Rolando;1971-12-25;591;179;1.81
Warren; Adam;1980-02-06;112;180;1.82
Schaad; Dante;1971-02-08;218;181;1.93
Nguyen; Andrew;1975-09-22;208;182;1.97
al-Moustafa; Zuhair;1974-01-28;270;183;1.82
Cushon; Joseph;1976-08-08;398;184;1.93
el-Rafiq; Haani;1974-01-23;612;185;1.86
Deloach; Jarmosley;1972-05-09;324;186;1.82
Tacuba; Tony;1977-02-29;854;187;1.84
el-Dada; Fawwaaz;1973-07-26;768;188;1.84
Chavez-Fernandez; Isaiah;1978-02-28;534;189;1.82
Griggs; Stephen;1974-05-22;480;190;1.85
Finley; Wanbli;1980-03-22;716;191;1.88
Dahlin; Jacob;1983-11-22;784;192;1.96
Sohn; Brandon;1976-06-30;158;193;1.94
Galloway; Anthony;1973-08-25;418;194;1.88
Rondeau; Eric;1974-02-04;233;195;1.84
Harvin; Craig;1981-09-22;832;196;1.87
Wakasugi; Tue;1978-05-07;422;197;1.93
Carlin; Dylan;1974-02-07;275;198;1.95
Molina; Brian;1975-12-01;191;199;1.91
Shrestha; Darren;1983-05-01;268;200;1.82
Tafoya; Adrian;1983-10-23;120;201;1.82
Luna; Gericko;1984-11-20;68;202;1.83
al-Ghanem; Bishr;1984-08-15;580;203;1.82
Gasca; Jose;1983-12-26;678;204;1.98
el-Mahmud; Fahd;1977-10-27;702;205;1.87
el-Sinai; Fikri;1977-11-26;417;206;1.91
Klimek; Sidharth;1980-07-09;410;207;1.93
el-Anwar; Mubarak;1972-07-27;604;208;1.82
al-Rashed; Ihaab;1973-09-06;304;209;1.83
Melendez; Salvador;1974-08-26;92;210;1.83
Skaggs; Courtlandt;1979-01-22;28;211;1.95
Howard; Christopher;1975-10-27;807;212;1.97
Muller; Wesley;1976-11-22;512;213;1.93
Latham; Symon;1980-12-29;686;214;1.87
Schoenfeld; Rito;1978-06-13;214;215;1.85
Conley-Frazier; Quinn;1983-08-26;84;216;1.88
Reynolds; Dimas;1973-02-21;554;217;1.97
Miller; Derreck;1980-09-20;104;218;1.83
Grout; Blake;1972-02-23;508;219;1.91
Gann; Heath;1982-08-16;585;220;1.81
al-Samra; Jaasir;1974-07-16;584;221;1.88
Hickman; Marcellus;1983-05-10;826;222;1.92
Perez; Enrique;1985-08-16;704;223;1.92
Swigert; Christopher;1982-01-02;831;224;1.93
Mcnaney; Matthew;1981-04-26;72;225;1.93
Rosen; Patrick;1974-07-24;480;226;1.92
Trujillo; Condeladio;1974-10-05;500;227;1.82
al-Mansoor; Hanlala;1973-10-24;400;228;1.87
Burke; Caleb;1974-02-06;662;229;1.83
Repka; Colan;1978-12-29;524;230;1.87
Gordon; Ryland;1974-08-19;660;231;1.94
Reese; Edward;1975-10-30;384;232;1.91
Searles; Kyle;1975-11-27;348;233;1.89
Kaneko; Matthew;1971-09-08;535;234;1.97
Brunz; Nathan;1975-12-15;744;235;1.85
el-Hakeem; Lutfi;1976-02-19;144;236;1.9
Smith; Tyler;1971-07-25;744;237;1.94
Clark; Kyle;1981-01-16;858;238;1.94
Lopez; Shane;1983-09-11;384;239;1.96
Littlethunder; Ira;1979-11-18;694;240;1.84
Balaun; Calvin;1985-07-03;408;241;1.98
Ho; Matthew;1976-01-09;44;242;1.91
Steinmark; Benjamin;1972-08-22;162;243;1.84
Talbott; Kevin;1980-12-20;788;244;1.88
Murillo-Roldan; Nicolas;1979-11-14;833;245;1.85
Phung; Kin-Lino;1977-05-30;762;246;1.9
Jimenez Yanez; Israel;1975-06-23;356;247;1.9
Hess; Brandon;1981-12-10;662;248;1.87
Luckey; Michael;1977-08-05;504;249;1.84
Curtis; Jesse;1982-07-07;446;250;1.97
Gates; Preston;1973-08-21;524;251;1.82
el-Agha; Shafeeq;1984-01-10;100;252;1.96
Hannebaum; Jonathan;1977-03-16;702;253;1.92
Ortiz; Tucker;1985-05-05;434;254;1.92
Coleman; Kwame;1984-08-26;208;255;1.91
Rodriguez-Quezada; Paul;1977-03-02;462;256;1.81
Holland; Jake;1984-01-15;740;257;1.91
Lim; Anthony;1975-06-23;732;258;1.88
Jones; Savon;1978-03-21;804;259;1.88
Esselman; Abhishekha;1979-10-05;275;260;1.84
Serrano Cervantes; Cypress;1974-05-06;250;261;1.95
Mills; Tristan;1981-05-23;100;262;1.98
Turner; Lonnie;1980-03-21;260;263;1.83
Hertz; Tsinnijinnie;1972-12-12;504;264;1.86
Delgado; Edixon;1984-10-10;752;265;1.84
Arbogast; Francis;1981-06-13;554;266;1.93
Yi; Gary;1976-11-20;36;267;1.83
Briseno; Ty;1972-08-19;620;268;1.83
Lefano; Jacob;1974-02-10;776;269;1.81
Kee; Prettyboy;1983-03-17;380;270;1.88
el-Karam; Hamood;1984-04-05;428;271;1.93
Lee; Alexander;1978-02-06;258;272;1.91
West; Antonio;1973-12-06;818;273;1.94
Guzman; Carlos;1974-07-19;275;274;1.82
Saraogi; Jonathan;1971-05-19;654;275;1.97
Ji; Aaron;1980-04-06;466;276;1.94
Blount; Jeffry;1977-07-05;462;277;1.96
David; Joel;1981-07-12;104;278;1.9
Frost; Zaquin;1972-08-10;796;279;1.94
Duque; Juan;1975-11-03;792;280;1.88
Mingilton; Seth;1978-05-17;28;281;1.92
Mee; Nicolai;1974-08-19;296;282;1.82
Chan; Cheng;1978-08-17;428;283;1.83
al-Rasheed; Abdul Quddoos;1984-08-03;74;284;1.96
Degena; Jathan;1985-06-27;585;285;1.87
Campbell; Tyree;1979-10-11;203;286;1.94
Coltrain; Donald;1974-06-24;372;287;1.96
Carabajal III; Anfernee;1976-04-06;400;288;1.92
Agnew; Treygon;1984-02-03;583;289;1.9
Garner; Calvin;1972-06-07;612;290;1.97
Travis; Kevon;1975-10-14;266;291;1.93
Jaramillo; Alejandro;1980-10-29;304;292;1.97
Murillo; Nicolas;1981-05-15;531;293;1.94
Regan; Zeth;1983-05-04;705;294;1.96
al-Shakoor; Fayyaad;1977-12-21;528;295;1.88
al-Farrah; Ghaamid;1973-04-30;392;296;1.82
Jones; Joseph;1979-07-04;690;297;1.92
Vigil; Jacob;1983-05-20;858;298;1.98
Rodriguez; Erik;1984-12-06;268;299;1.91
Weiss; Anthony;1985-05-03;834;300;1.86
el-Niazi; Arkaan;1984-03-19;831;301;1.89
Saunders; Howard;1973-08-19;598;302;1.88
Gonzales; Nicholas;1984-08-25;166;303;1.89
Mortel; Tony;1976-04-18;352;304;1.97
Liden; Jeffrey;1979-06-03;56;305;1.94
Quang; Wesley;1975-04-20;480;306;1.8
Moline; Austin;1977-09-30;548;307;1.85
Briseno Valdez; Beau;1972-02-20;534;308;1.9
Pallister; Matias;1981-03-08;516;309;1.94
Smith; Joshua;1977-05-29;858;310;1.95
Maumau; Phillip;1975-04-02;643;311;1.86
Figueroa; Eduardo;1976-03-26;148;312;1.82
Tafoya; Mario;1975-10-10;266;313;1.96
Enkh Amgalan; Ahnaf;1971-05-29;858;314;1.81
Cha; Daniel;1985-03-23;598;315;1.9
Marshall; Kaleb;1979-05-26;580;316;1.87
Burns; Dyami;1973-05-18;60;317;1.91
Salazar; Michael;1979-10-09;558;318;1.97
Ison; Charles;1980-07-01;408;319;1.83
Jackson; Gurinder;1982-06-03;234;320;1.83
Chhoeun; Kevin;1978-05-11;233;321;1.91
Potman; Airam;1972-06-14;566;322;1.88
Vandyke; Bailey;1973-10-02;56;323;1.86
Walter; Austin;1984-12-07;887;324;1.87
Hall; James;1983-10-15;638;325;1.87
Hardy; Christopher;1975-02-27;762;326;1.85
Bowman; Vincent;1976-01-05;392;327;1.91
Breer; Todd;1980-12-13;178;328;1.82
Johnson; Jaelan;1974-09-15;364;329;1.95
al-Shaker; Shuaib;1982-08-12;300;330;1.81
Enriquez-Yanez; Aaron;1973-10-09;585;331;1.82
An; Sean;1982-07-10;833;332;1.92
Javaid; David;1973-09-20;492;333;1.96
Harrison; Deonte;1974-07-13;266;334;1.95
Chan; Yuanxin;1983-12-16;458;335;1.82
Burdick; Alexander;1971-07-29;132;336;1.9
Rangel; Raul;1974-10-24;400;337;1.94
Varela; Anthony;1971-11-21;608;338;1.91
el-Rahimi; Sharaf;1985-06-04;56;339;1.88
Yang; Christopher;1976-05-15;492;340;1.87
Mensah; Nathaniel;1974-10-20;100;341;1.8
Herrera-Quiroz; Michael;1985-05-08;51;342;1.82
Piazza; Blake;1981-08-16;344;343;1.86
al-Qazi; Saamir;1980-04-17;535;344;1.93
al-Gaber; Shaheer;1980-07-07;158;345;1.81
Machesky; Derrick;1975-09-06;446;346;1.86
Topaha; Dominique;1983-04-16;340;347;1.81
Kim; Daniel;1977-06-19;682;348;1.9
Darras; Nicholas;1974-04-26;894;349;1.96
Cooper; Taveuan;1975-10-29;608;350;1.82
Brewer; Aaron;1980-04-15;807;351;1.91
Debus; Hershel;1981-04-08;239;352;1.95
Renton; Cameron;1984-01-20;60;353;1.95
Dzafic; Jeremy;1980-09-05;422;354;1.88
Baca; Jaime;1984-09-08;344;355;1.83
el-Farag; Zaghlool;1982-01-13;328;356;1.83
Trujillo; Gerci;1985-03-06;887;357;1.96
Price; Kolten;1978-12-06;52;358;1.87
Jacquez; Victor;1980-04-23;276;359;1.97
al-Assad; Mazeed;1982-05-07;624;360;1.84
Listy; Jordan;1974-01-25;266;361;1.88
al-Aslam; Basheer;1973-02-20;804;362;1.89
Ortega; Michael;1973-11-01;548;363;1.83
el-Husain; Hamdi;1975-06-23;170;364;1.82
el-Asad; Zaghlool;1976-06-22;608;365;1.81
Huang; Lael;1976-08-20;626;366;1.83
Nguyen; Vijay;1985-03-02;558;367;1.93
Foster; Dwight;1982-09-30;328;368;1.81
el-Omer; Humaid;1982-03-21;31;369;1.9
Krupa; Kenneth;1982-10-20;832;370;1.87
al-Yassin; Saood;1981-12-25;756;371;1.89
Pearson; Gregory;1982-11-20;600;372;1.86
Garcia; Richard;1985-11-23;716;373;1.94
Willingham; Jonathan;1982-08-20;831;374;1.93
Tracey; Devyn;1985-01-07;666;375;1.93
Muckom; Jonathan;1981-09-15;152;376;1.83
Cordova; Yahir;1978-08-17;558;377;1.81
Barrientos; Eric;1974-06-10;752;378;1.93
Sauer; James;1977-10-10;44;379;1.89
Hettich; Colin;1972-11-04;686;380;1.84
Campos; Carlos;1973-11-16;430;381;1.85
Nguyen; Conan;1981-04-27;702;382;1.94
Braley; Derrick;1985-05-30;807;383;1.86
Morgan; Treyben;1984-08-13;332;384;1.91
el-Mahmoud; Zufar;1985-09-10;604;385;1.93
Cable; Gavin;1975-08-14;148;386;1.82
al-Yasin; Abbaad;1975-04-08;772;387;1.84
Cook; Mark;1977-11-15;764;388;1.93
Sarracino; Charles;1982-03-16;348;389;1.96
el-Kaber; Shaafi;1984-07-30;239;390;1.9
